PING 192.168.11.31 (192.168.11.31) 56(84) bytes of data.
64 bytes from 192.168.11.31: icmp_seq=1 ttl=58 time=0.383 ms
64 bytes from 192.168.11.31: icmp_seq=2 ttl=58 time=0.337 ms
64 bytes from 192.168.11.31: icmp_seq=3 ttl=58 time=0.347 ms
64 bytes from 192.168.11.31: icmp_seq=4 ttl=58 time=0.415 ms
64 bytes from 192.168.11.31: icmp_seq=5 ttl=58 time=0.371 ms
64 bytes from 192.168.11.31: icmp_seq=6 ttl=58 time=0.371 ms
64 bytes from 192.168.11.31: icmp_seq=7 ttl=58 time=0.385 ms
64 bytes from 192.168.11.31: icmp_seq=8 ttl=58 time=0.345 ms
64 bytes from 192.168.11.31: icmp_seq=9 ttl=58 time=0.330 ms
64 bytes from 192.168.11.31: icmp_seq=10 ttl=58 time=0.371 ms
64 bytes from 192.168.11.31: icmp_seq=11 ttl=58 time=0.341 ms
64 bytes from 192.168.11.31: icmp_seq=12 ttl=58 time=0.384 ms
64 bytes from 192.168.11.31: icmp_seq=13 ttl=58 time=0.413 ms
64 bytes from 192.168.11.31: icmp_seq=14 ttl=58 time=0.360 ms
64 bytes from 192.168.11.31: icmp_seq=15 ttl=58 time=0.378 ms
64 bytes from 192.168.11.31: icmp_seq=16 ttl=58 time=0.391 ms
64 bytes from 192.168.11.31: icmp_seq=17 ttl=58 time=0.399 ms
64 bytes from 192.168.11.31: icmp_seq=18 ttl=58 time=0.361 ms
64 bytes from 192.168.11.31: icmp_seq=19 ttl=58 time=0.385 ms
64 bytes from 192.168.11.31: icmp_seq=20 ttl=58 time=0.368 ms
64 bytes from 192.168.11.31: icmp_seq=21 ttl=58 time=0.378 ms
64 bytes from 192.168.11.31: icmp_seq=22 ttl=58 time=0.365 ms
64 bytes from 192.168.11.31: icmp_seq=23 ttl=58 time=0.356 ms
64 bytes from 192.168.11.31: icmp_seq=24 ttl=58 time=0.384 ms
64 bytes from 192.168.11.31: icmp_seq=25 ttl=58 time=0.360 ms
64 bytes from 192.168.11.31: icmp_seq=26 ttl=58 time=0.328 ms
64 bytes from 192.168.11.31: icmp_seq=27 ttl=58 time=0.383 ms
64 bytes from 192.168.11.31: icmp_seq=28 ttl=58 time=0.333 ms
64 bytes from 192.168.11.31: icmp_seq=29 ttl=58 time=0.329 ms
64 bytes from 192.168.11.31: icmp_seq=30 ttl=58 time=0.384 ms
64 bytes from 192.168.11.31: icmp_seq=31 ttl=58 time=0.382 ms
64 bytes from 192.168.11.31: icmp_seq=32 ttl=58 time=0.367 ms
